Station,Latitude,Longitude,Line,Colour,Distance,Extra,,,,,,
Notting Hill Gate 3,51.509028,-0.1962847,District,#00782A,5.598060251,,,,,,,
Oakwood,51.64739,-0.13192,Piccadilly,#003688,15.08695181,,,,,,,
Old Street,51.52618,-0.08751,Northern,#000000,2.493226743,,,,,,,
Osterley,51.481569,-0.35196,Piccadilly,#003688,16.71424682,,,,,,,
Oval,51.48214,-0.11284,Northern,#000000,3.335762543,,,,,,,
Oxford Circus,51.51517,-0.14119,Bakerloo,#B36305,1.807466769,,,,,,,
Oxford Circus 2,51.51517,-0.14119,Central,#E32017,1.807466769,,,,,,,
Oxford Circus 3,51.51517,-0.14119,Victoria,#0098D4,1.807466769,,,,,,,
Paddington,51.51518466,-0.175538808,Bakerloo,#B36305,4.165912853,,,,,,,
Paddington 2,51.51909671,-0.176968859,Circle,#FFD300,4.321246964,,,,,,,
Paddington 3,51.51518466,-0.175538808,District,#00782A,4.165912853,,,,,,,
Paddington 4,51.51909671,-0.176968859,Hammersmith & City,#F3A9BB,4.321246964,,,,,,,
Park Royal,51.52671,-0.28417,Piccadilly,#003688,11.78014787,,,,,,,
Parsons Green,51.47488,-0.20205,District,#00782A,7.279307175,,,,,,,
Perivale,51.536673,-0.32391,Central,#E32017,14.67237469,,,,,,,
Piccadilly Circus,51.51022,-0.13392,Bakerloo,#B36305,1.288675831,,,,,,,
Piccadilly Circus 2,51.51022,-0.13392,Piccadilly,#003688,1.288675831,,,,,,,
Pimlico,51.489081,-0.133037,Victoria,#0098D4,2.830781442,,,,,,,
Pinner,51.59270271,-0.380539158,Metropolitation,#9B0056,20.39709856,,,,,,,
Plaistow,51.53122,0.01659,District,#00782A,9.386122367,,,,,,,
Plaistow 2,51.53122,0.01659,Hammersmith & City,#F3A9BB,9.386122367,,,,,,,
Pontoon Dock,51.50205,0.03308,DLR,#00A4A7,10.34658586,,,,,,,
Poplar,51.507725,-0.016503,DLR,#00A4A7,6.871283721,,,,,,,
Preston Road,51.57229051,-0.295813875,Metropolitation,#9B0056,14.15024593,,,,,,,
Prince Regent,51.509471,0.033473,DLR,#00A4A7,10.31663273,,,,,,,
Pudding Mill Lane,51.5339,-0.0142,DLR,#00A4A7,7.418964044,,,,,,,
Putney Bridge,51.46868,-0.2088141,District,#00782A,8.062430566,,,,,,,
Queen's Park 2,51.534179,-0.205257721,Bakerloo,#B36305,6.67516847,,,,,,,
Queensbury,51.59437,-0.28655,Jubilee,#A0A5A9,14.94970904,,,,,,,
Queensway,51.510484,-0.18705,Central,#E32017,4.95175106,,,,,,,
Ravenscourt Park,51.49419,-0.2356,District,#00782A,8.544926913,,,,,,,
Rayners Lane,51.57534,-0.3724,Piccadilly,#003688,19.10429698,,,,,,,
Redbridge,51.57618,0.04542,Central,#E32017,13.2168742,,,,,,,
Regent's Park,51.52344,-0.14713,Bakerloo,#B36305,2.523717695,,,,,,,
Richmond,51.46343247,-0.302033247,District,#00782A,14.00020503,,,,,,,
Rickmansworth,51.64027898,-0.473521454,Metropolitation,#9B0056,28.55056432,,,,,,,
Roding Valley,51.61691,0.04264,Central,#E32017,15.98112817,,,,,,,
Royal Albert,51.508456,0.046148,DLR,#00A4A7,11.19710305,,,,,,,
Royal Oak,51.519383,-0.187785,Circle,#FFD300,5.06421282,,,,,,,
Royal Oak 2,51.519383,-0.187785,Hammersmith & City,#F3A9BB,5.06421282,,,,,,,
Royal Victoria,51.509156,0.018083,DLR,#00A4A7,9.253257736,,,,,,,
Ruislip,51.57146,-0.42157,Metropolitation,#9B0056,22.16954963,,,,,,,
Ruislip 2,51.57146,-0.42157,Piccadilly,#003688,22.16954963,,,,,,,
Ruislip Gardens,51.560711,-0.410587,Central,#E32017,21.11071562,,,,,,,
