Station,Latitude,Longitude,Line,Colour,Distance,Extra,,,,,,
Euston,51.52774,-0.13303,Northern,Black,2.119304855,,,,,,,
Euston,51.52774,-0.13303,Overground,Orange,2.119304855,N,,,,,,
Euston,51.52774,-0.13303,Victoria,Blue,2.119304855,,,,,,,
Euston Square,51.52584,-0.1357,Circle,Yellow,2.069329688,,,,,,,
Euston Square,51.52584,-0.1357,Hammersmith & City,Pink,2.069329688,,,,,,,
Euston Square,51.52584,-0.1357,Metropolitation,Purple,2.069329688,,,,,,,
Fairlop,51.59634,0.09125,Central,Red,17.09298635,,,,,,,
Farringdon,51.520086,-0.104789,Hammersmith & City,Pink,1.159251912,,,,,,,
Farringdon,51.52036295,-0.105126482,Metropolitation,Purple,1.168481112,,,,,,,
Finchley Central,51.60102,-0.1924,Northern,Black,11.22551903,,,,,,,
Finchley Road,51.546701,-0.179867,Jubilee,Grey,5.882964754,,,,,,,
Finchley Road,51.546701,-0.179867,Metropolitation,Purple,5.882964754,,,,,,,
Finchley Road and Frognal,51.54994,-0.18412,Overground,Orange,6.341467601,,,,,,,
Finsbury Park,51.56498,-0.10543,Piccadilly,Navy,5.922324381,,,,,,,
Finsbury Park,51.56498,-0.10543,Victoria,Blue,5.922324381,,,,,,,
Forest Hill,51.439278,-0.053157,Overground,Orange,9.177278527,N,,,,,,
Fulham Broadway,51.48033,-0.19488,District,Green,6.529753907,,,,,,,
Gallions Reach,51.509111,0.071911,DLR,Teal,12.97686588,,,,,,,
Gants Hill,51.57649,0.06637,Central,Red,14.47511042,,,,,,,
Gloucester Road,51.49408266,-0.17295341,Circle,Yellow,4.449779297,,,,,,,
Gloucester Road,51.49408266,-0.17295341,District,Green,4.449779297,,,,,,,
Gloucester Road,51.49408266,-0.17295341,Piccadilly,Navy,4.449779297,,,,,,,
Golders Green,51.57249,-0.1941,Northern,Black,8.638186471,,,,,,,
Goldhawk Road,51.501248,-0.226776,Circle,Yellow,7.792331559,,,,,,,
Goldhawk Road,51.501248,-0.226776,Hammersmith & City,Pink,7.792331559,,,,,,,
Goodge Street,51.5206,-0.13441,Northern,Black,1.612256495,,,,,,,
Gospel Oak,51.55597,-0.15228,Overground,Orange,5.50106328,,,,,,,
Grange Hill,51.61326,0.09258,Central,Red,18.2625489,,,,,,,
Great Portland Street,51.52391,-0.14397,Circle,Yellow,2.365537369,,,,,,,
Great Portland Street,51.52391,-0.14397,Hammersmith & City,Pink,2.365537369,,,,,,,
Great Portland Street,51.52391,-0.14397,Metropolitation,Purple,2.365537369,,,,,,,
Green Park,51.50674,-0.14276,Jubilee,Grey,1.975361164,,,,,,,
Green Park,51.50674,-0.14276,Piccadilly,Navy,1.975361164,,,,,,,
Green Park,51.50674,-0.14276,Victoria,Blue,1.975361164,,,,,,,
Greenford,51.542346,-0.345903,Central,Red,16.28730247,,,,,,,
Greenwich,51.478016,-0.015391,DLR,Teal,7.901141425,,,,,,,
Gunnersbury,51.491676,-0.275286,Overground,Orange,11.28766699,N,,,,,,
Gunnersbury,51.49126844,-0.275554312,District,Green,11.31509532,,,,,,,
Hackney Central,51.54689,-0.05784,Overground,Orange,5.559241858,,,,,,,
Hackney Downs,51.548756,-0.060819,Overground,Orange,5.563331411,N,,,,,,
Hackney Wick,51.54348,-0.02474,Overground,Orange,7.186084236,,,,,,,
Haggerston,51.538704,-0.075667,Overground,Orange,4.045589626,N,,,,,,
Hainault,51.60288,0.09332,Central,Red,17.61836649,,,,,,,
Hammersmith,51.492328,-0.222825,District,Green,7.744123483,,,,,,,
Hammersmith,51.492328,-0.222825,Piccadilly,Navy,7.744123483,,,,,,,
Hammersmith,51.49419075,-0.225964953,Circle,Yellow,7.897886276,,,,,,,
Hammersmith,51.49419075,-0.225964953,Hammersmith & City,Pink,7.897886276,,,,,,,
Hampstead,51.55645,-0.17851,Northern,Black,6.580067169,,,,,,,
Hampstead Heath,51.55533,-0.16656,Overground,Orange,5.963880207,,,,,,,
Hanger Lane,51.53,-0.2929,Central,Red,12.43157833,,,,,,,
Harginay Green Lanes,51.6025,-0.356908,Overground,Orange,19.48065484,N,,,,,,
Harlesden,51.53628278,-0.257622488,Bakerloo,Brown,10.19099064,,,,,,,
Harlesden,51.53628278,-0.257622488,Overground,Orange,10.19099064,N,,,,,,
Harrow & Wealdstone,51.59205973,-0.334725352,Bakerloo,Brown,17.57066198,,,,,,,
Harrow & Wealdstone,51.59205973,-0.334725352,Overground,Orange,17.57066198,N,,,,,,
Harrow-on-the-Hill,51.579335,-0.337052,Metropolitation,Purple,17.04507046,,,,,,,
Hatch End,51.609829,-0.369179,Overground,Orange,20.62829486,N,,,,,,
Hatton Cross,51.466988,-0.423035,Piccadilly,Navy,21.87237846,,,,,,,
Headstone Lane,51.6025,-0.356908,Overground,Orange,19.48065484,,,,,,,
Heathrow Terminal 4,51.4594777,-0.44689658,Piccadilly,Navy,23.67774321,,,,,,,
Heathrow Terminals 1-2-3,51.4712899,-0.4527438,Piccadilly,Navy,23.78220596,,,,,,,
Hendon Central,51.58346,-0.22653,Northern,Black,11.0396748,,,,,,,
