Station,Latitude,Longitude,Line,Colour,Distance,Extra,,,,,,
West Kensington,51.49085,-0.20532,District,Green,6.64796202,,,,,,,
Westminster,51.50121,-0.12489,District,Green,1.372096123,,,,,,,
Whitechapel,51.51946,-0.05951,District,Green,3.962901279,,,,,,,
Wimbledon,51.422,-0.20544,District,Green,11.79550288,,,,,,,
Wimbledon Park,51.43391,-0.19864,District,Green,10.4259656,,,,,,,
Abbey Road,51.531952,0.003723,DLR,Teal,8.542047756,,,,,,,
All Saints,51.510301,-0.012832,DLR,Teal,7.110745596,,,,,,,
Bank,51.5134047,-0.08905843,DLR,Teal,1.838564841,,,,,,,
Beckton,51.514411,0.06164,DLR,Teal,12.2638322,,,,,,,
Beckton Park,51.508758,0.054778,DLR,Teal,11.79282843,,,,,,,
Blackwall,51.507903,-0.007438,DLR,Teal,7.495922757,,,,,,,
Bow Church,51.5289,-0.021,DLR,Teal,6.803124744,,,,,,,
Canary Wharf,51.505946,-0.020493,DLR,Teal,6.613507433,,,,,,,
Canning Town,51.51388,0.008876,DLR,Teal,8.612181546,,,,,,,
Crossharbour,51.495086,-0.014543,DLR,Teal,7.241955599,,,,,,,
Custom House,51.509731,0.026013,DLR,Teal,9.799742283,,,,,,,
Cutty Sark,51.481713,-0.010811,DLR,Teal,7.998413785,,,,,,,
Cyprus,51.50836,0.06399,DLR,Teal,12.431495,,,,,,,
Deptford Bridge,51.478016,-0.022496,DLR,Teal,7.473249419,,,,,,,
Devons Road,51.522274,-0.01708,DLR,Teal,6.906516311,,,,,,,
East India,51.509516,-0.002128,DLR,Teal,7.854002524,,,,,,,
Elverson Road,51.468768,-0.016265,DLR,Teal,8.393603868,,,,,,,
Gallions Reach,51.509111,0.071911,DLR,Teal,12.97686588,,,,,,,
Greenwich,51.478016,-0.015391,DLR,Teal,7.901141425,,,,,,,
Heron Quays,51.5046489,-0.0207681,DLR,Teal,6.611166932,,,,,,,
Island Gardens,51.488001,-0.011039,DLR,Teal,7.713878796,,,,,,,
King George V,51.50202,0.06299,DLR,Teal,12.40687349,,,,,,,
Lewisham,51.465216,-0.013166,DLR,Teal,8.798493641,,,,,,,
Limehouse,51.5124366,-0.0395511,DLR,Teal,5.258918704,,,,,,,
London City Airport,51.50319,0.04864,DLR,Teal,11.40594959,,,,,,,
Mudchute,51.491185,-0.014595,DLR,Teal,7.363997214,,,,,,,
Pontoon Dock,51.50205,0.03308,DLR,Teal,10.34658586,,,,,,,
Poplar,51.507725,-0.016503,DLR,Teal,6.871283721,,,,,,,
Prince Regent,51.509471,0.033473,DLR,Teal,10.31663273,,,,,,,
Pudding Mill Lane,51.5339,-0.0142,DLR,Teal,7.418964044,,,,,,,
Royal Albert,51.508456,0.046148,DLR,Teal,11.19710305,,,,,,,
Royal Victoria,51.509156,0.018083,DLR,Teal,9.253257736,,,,,,,
Shadwell,51.511853,-0.05548,DLR,Teal,4.156581611,,,,,,,
South Quay,51.500413,-0.018636,DLR,Teal,6.831595242,,,,,,,
Star Lane,51.520604,0.004191,DLR,Teal,8.338958018,,,,,,,
Stratford,51.54047,-0.005085,DLR,Teal,8.267424199,,,,,,,
Tower Gateway,51.510911,-0.073466,DLR,Teal,2.91481427,,,,,,,
West Ham,51.527917,0.004141,DLR,Teal,8.465840017,,,,,,,
West India Quay,51.506723,-0.01988,DLR,Teal,6.647333521,,,,,,,
West Silvertown,51.50335,0.02208,DLR,Teal,9.574187932,,,,,,,
Westferry,51.509576,-0.02699,DLR,Teal,6.134605249,,,,,,,
Woolwich Arsenal,51.489907,0.069194,DLR,Teal,13.02307084,,,,,,,
Aldgate East,51.51514,-0.07178,Hammersmith & City,Pink,3.047296449,,,,,,,
Baker Street,51.52265,-0.15704,Hammersmith & City,Pink,3.102079798,,,,,,,
Barbican,51.520865,-0.097758,Hammersmith & City,Pink,1.57038299,,,,,,,
Barking,51.54079,0.08018,Hammersmith & City,Pink,13.91111737,,,,,,,
Bow Road,51.52709,-0.02482,Hammersmith & City,Pink,6.494945813,,,,,,,
Bromley-by-Bow,51.52466,-0.01282,Hammersmith & City,Pink,7.243750399,,,,,,,
East Ham,51.53931,0.0526,Hammersmith & City,Pink,12.01963994,,,,,,,
Edgware Road,51.520195,-0.166986,Hammersmith & City,Pink,3.671908298,,,,,,,
Euston Square,51.52584,-0.1357,Hammersmith & City,Pink,2.069329688,,,,,,,
Farringdon,51.520086,-0.104789,Hammersmith & City,Pink,1.159251912,,,,,,,
Goldhawk Road,51.501248,-0.226776,Hammersmith & City,Pink,7.792331559,,,,,,,
Great Portland Street,51.52391,-0.14397,Hammersmith & City,Pink,2.365537369,,,,,,,
Hammersmith,51.49419075,-0.225964953,Hammersmith & City,Pink,7.897886276,,,,,,,
King's Cross St.Pancras,51.53057,-0.12399,Hammersmith & City,Pink,2.136161838,,,,,,,
Ladbroke Grove,51.5173,-0.21114,Hammersmith & City,Pink,6.640434319,,,,,,,
Latimer Road,51.513125,-0.218428,Hammersmith & City,Pink,7.120703478,,,,,,,
Liverpool Street,51.517675,-0.082458,Hammersmith & City,Pink,2.372087264,,,,,,,
Mile End,51.525306,-0.033471,Hammersmith & City,Pink,5.865740664,,,,,,,
Moorgate,51.51817,-0.08859,Hammersmith & City,Pink,1.983755569,,,,,,,
Paddington,51.51909671,-0.176968859,Hammersmith & City,Pink,4.321246964,,,,,,,
Plaistow,51.53122,0.01659,Hammersmith & City,Pink,9.386122367,,,,,,,
Royal Oak,51.519383,-0.187785,Hammersmith & City,Pink,5.06421282,,,,,,,
Shepherd's Bush Market,51.506063,-0.226231,Hammersmith & City,Pink,7.68962717,,,,,,,
Stepney Green,51.521884,-0.046546,Hammersmith & City,Pink,4.896809773,,,,,,,
Upton Park,51.53514,0.03373,Hammersmith & City,Pink,10.64063114,,,,,,,
West Ham,51.527917,0.004141,Hammersmith & City,Pink,8.465840017,,,,,,,
Westbourne Park,51.520995,-0.201778,Hammersmith & City,Pink,6.04862295,,,,,,,
Whitechapel,51.51946,-0.05951,Hammersmith & City,Pink,3.962901279,,,,,,,
Wood Lane,51.5091345,-0.2252285,Hammersmith & City,Pink,7.597833238,,,,,,,
Baker Street,51.52265,-0.15704,Jubilee,Grey,3.102079798,,,,,,,
Bermondsey,51.49813,-0.0635,Jubilee,Grey,3.922363584,,,,,,,
Bond Street,51.51461,-0.14897,Jubilee,Grey,2.330038305,,,,,,,
Canada Water,51.49787,-0.04967,Jubilee,Grey,4.825736781,,,,,,,
Canary Wharf,51.50362,-0.01987,Jubilee,Grey,6.688065694,,,,,,,
Canning Town,51.51388,0.008876,Jubilee,Grey,8.612181546,,,,,,,
